accountId,paraId,amount,block_num
123WpR1d4uMdKAochxuHdohTU3vp62aAPzvP45rsb1MLzZNd,2040,100000000000,10188120
16PvvAMrmeFqBH6VWTPTeX1P9nDTQWSYZiwQfkMPYNG6LEaD,2040,50000000000,10188104
16mAjKmHzztUa39eaBZMrqUj8BmV1rXAHgeUgBtQvVgvkC5u,2040,100000000000,10188058
15kgZVVEfoAN3UVkdsrr2M5kMo5z4AbJ5bVWMEc4mp6JPvvD,2040,50000000000,10188058
15JxdAbrHjFBVrKj3Yor1AB829y58j5wJWLuHMQK9bZJkujf,2040,257000000000,10188009
16cqwcxDL8ANxknYvrYX7vAAMFAyc8fLhwEmV2ujF8bMMKXf,2040,5050000000000,10187974
16JZBfjhEWtadbBU6yr6g8X7MHrxtDTQKbM6QrxaWR2s4K1E,2040,101000000000,10187963
13LHN6KoMJ2BFh12FeE1Lm1kGGT8V2SV3oH6Ftuk3LyqDUmN,2040,241167010265000,10187949
19aVdGM5QK9Hqb6TLoUHxmFyHNJjPtEuTKModzZhstgfcVJ,2040,170000000000,10187880
16V2GYecdypXsFkjqsN2x1AHqpza7BFNsnFpRRzwdwr9B2zN,2040,500000000000,10187867
138ebFFjkvZYPtteYmBLSh5kWtByCTQE6kAqpx2HXebH5Gxt,2040,100000000000,10187866
14r4GiHqDnxQ9B8mr9udhR2TYkFFAo1sKHSUvBjCXQbL29Sn,2040,9940000000000,10187846
17X8rdpbEHWgYUSLiKpHhvXAfDbkr5S5wSrbGLd55wYgBJV,2040,50000000000,10187815
12bPy9hVWpZkdZ8UAuTNku1sfEG3Ju49djxN8tdqVwdudtZn,2040,150000000000,10187733
1pot5ia9Cyh5oUpX7eJKps92rrPu7EUxJfwRZ3m8KfS7D82,2040,90000000000,10187707
163LFvgv7pi4F9iyt23UpviERcdg9HzrobDDi6Hq3TNUqCfc,2040,950000000000,10187662
13dfnVHg7UFFhuV8RHUyiinNLhFHg7Vgn1AKSi6Y36E221Zk,2040,100000000000,10187651
1CXiM2vHezg2bHviYBXWLcrurj3KaaT5ssSXaM8uoroDVLs,2040,1010000000000,10187619
1PCfL4mnMp38jQZnvGwBB19B6p6NR8smpJPv6udvQKtSaBu,2040,1010000000000,10187616
19yNwj7g4TRRm1N5NExnFojXLqAJAvtz5GeccxHvBDSMHiH,2040,1015000000000,10187612
1Gph22h3ctC7J8MScieGNwBfZzUB5rprSuHUdkM2EeGHwhM,2040,1320000000000,10187603
16iMEZS8aLs7WY1DYTTrAQ6GRPaQYT8vSLp1y9LqZL6WoWji,2040,1010000000000,10187593
14Gi6rCmAUnsW5k52Q3MukoCqzZ5dYayURtu8abnYJpzkzTs,2040,1350000000000,10187589
12ENHg45gXgkEvnmnebdD16FyeE5kHBmQR5owfWuMqB2mkBB,2040,100000000000,10187488
13v7QFdx2uF26SrNiRNJb4f2RR1o2a9G2i4ps1ZAGPWZVVpL,2040,920000000000,10187448
14MZxw1egpyVBbahwsuqx747G5g2JmQh9nTf4cgzHM6MYuCy,2040,50000000000,10187441
119Gez9T7L1XXZiztc9R4LGcBxPjxKXo5Gp4fDKaaYVs9Wn,2040,1400000000000,10187436
1joC5265zm6Uzfj6s3zZPehyfC1q5NpcDZZJApiW9tdvayX,2040,700000000000,10187397
15ParvAis1fgrzkM98WNWSvKaryzJpQL4KjKwaS3z6L94KY7,2040,700000000000,10187389
13obuZkvEszSNBH4Z9zJA3rvSc6Svrc82qupDqorahdjRQtm,2040,300000000000,10187346
12y1NQpj6JSX9qWRftcwcAM9wqbJ9BURKLemAo7MW1ArLPjc,2040,500000000000,10187296
16MFt3razn2G1gBv4FcQMHJpRpZ3eVryH8GmU7HCbrMyXcs8,2040,10000000000000,10187257
14aadC64Enm3gwPHkNepu8dsC9UyVhGhd7hCzmXeVYBnQZRC,2040,50000000000,10187251
13H5UAfyHyWjY9HjUb3D1qciyeDeKjZzCLBBmEj74nQYH6Nj,2040,1200000000000,10187236
146VvP8Pc2yaw2EQXGTdDKNg5zLPMZpyPvYwWRba1gJevN8Z,2040,50000000000,10187202
1gxBVhYyUbYbdWxXH48beneBsreiXzsusNV7TTS5yGG2uGb,2040,260000000000,10187120
16f1NaPigGuuzNCMxfpw3AeFWzDrrZLAfazXQ4FvfyH87pPh,2040,1500000000000,10187092
16Q9uAFT6B19gg9Lcm9Qp8DB1m6Ua2Ffs9CZcZyrSYJAhSSY,2040,50000000000,10186991
143DuQCZkZNSzHLf93PTeG4tiKBv1WvNE6ZLny5Bnwk44HHM,2040,471880000000,10186925
16Pj9wrTtRuyqMuEGwhdaHHVTwHUypdoBKuhHeejmeSk6HuV,2040,50000000000,10186853
13rbQKcuz6q3M6yxobqL9AUqSUyAr9kQgq4KsaZhRFS7BETs,2040,200000000000,10186806
16FfwJ1M5dPC9msv1FJ7wUYuadqQneYZ1R5fnoUE2MDbW8Jo,2040,120000000000,10186749
19SAUZk1mAHka6tjw4rm48jN3PimMa84q1UZGUM5aGT5yzo,2040,60000000000,10186736
12xcE9wiHeoU5YhPA685uLHz27z5wPmRy9cQvCwc3etgGeKq,2040,251230000000,10186732
14899oemXrqVXMnMCMvNbyqeFJsMg6CeqJL9Tm7nNHJp5pkg,2040,50000000000,10186599
12x1Jp9vWYFRoAMoTm6rwAvWNKPgeRRxTtTbU3bho4P2FAJ2,2040,7400000000000,10186565
14E11YrWZqGjdznjdrAZkNoWbJFWR4NWGwraL8ikWds8UGK5,2040,580000000000,10186493
12doQ2atH2HyFRd8i7mSYD1Qrd7BNbhmFeMphAiRWunpYBwr,2040,13360400000000,10186492
14wfyNnAf6ya2hw2w6uxA6vbbUoTjMcPmmbR3r3KoWGeeYVk,2040,300000000000,10186464
13Mxfhny1XQ4qUqMYDWNZzD7L9enjrC3pu2gEUtiYjiuAuRh,2040,80000000000,10186454
15kdnGuLi5NSg6Z1bUNDxFhwAgRwk3LUFoBzJbJxhxPrCo64,2040,100000000000,10186439
12x7WyzcADKVyhPAQ5Aczj2DB4A6XkxP1yKgrd4YwsAQPHiQ,2040,215000000000,10186392
12BzBsS3FTKrGHPPUXWq5ooH5hWXXU2pP22H4aPauoTrTDR2,2040,250000000000,10186275
13za8tyTQ9TQCBqxBRYDbyiZEXyDqsvvYyd8rzgW5vDyErmf,2040,250000000000,10186217
14GopS7KSocsuieNWYPHTvbvs4EWLcx4Pw85eaEGQV62nJc4,2040,430000000000,10186177
15aYikpqyYKpYBdHXCAYXsa61on8eVZYwz4AiDf2kwyuDAEd,2040,50000000000,10186058
12xvwTiTzVqrasaE5WR9pf7wTYHZ6L14t9Eina61TQevvh6Q,2040,1030000000000,10186050
145vCuFT5Nhz1qVJaWyae9B8BTfvyikAm4to1r5T4orkTW6i,2040,50000000000,10186041
14zndyBVj7GtBZsr73nTss516DAFNofGXhWpae7aybTrXYqs,2040,200000000000,10186016
162Sc8zwaHo6BQooLwYdRVyhkR7QFMLNbmKmyqeKB8tnsN7c,2040,50000000000,10185999
1hG3t1qX2NJfu6RLyL72gzzM9Vkw2NDS1PRjzNBoXHYybXw,2040,100000000000,10185978
16LZAggen3S38gVUCPbhKLVjyNiKmJPSG9dkmnPoufuKQync,2040,2000000000000,10185965
13BqCL7rSpDXHkBKTBWG6p5MPWQBDVwXGFUb4ZAeTvWQ5WtP,2040,990000000000,10185904
15fU7EYsfER6P3K2oNhcaLPwMxR1AgyHmsZsDJmpvmzoZzm6,2040,100000000000,10185904
12xQvv2bSo9DM5o71gStFj1j1XW9je3uAKFnZheQSVHGLhMo,2040,500000000000,10185860
13uWt4NnfTuVFxnqTQCryktasmFEFAGpndn19K1ZGxidf7XR,2040,36000000000000,10185748
152ceXFpiXWEhNyTpj1rA1dCf3SFhhqtX7HFHbUoQLEG1uvt,2040,400000000000,10185665
1cQF7e3D9FgAjdaajznkrbDwCNzfRxBS9Xkmukyrj2rd1UX,2040,300000000000,10185587
14gMozjTh1Gq5WqkqzBvSjoM32VKJwNgo3HTt69WhhS7hxsj,2040,3400000000000,10185366
15GgdodeHF12opGgx4cEzaSPqimxwcenZdX8q2GL4xpv4FbJ,2040,730000000000,10185308
14tXkBqiHofwq2rVb5NUgAwCc4zdDtULz25v9w55wATkknx2,2040,710000000000,10185218
124a6R8Jyc4WDJehVEWDjv1tHJcGmQwYYK3BNcUq4qoYgemA,2040,50000000000,10185210
15VTtFXH1vJ8edkoS41ijvDSmZfMbF3nn99Dt3hGgDFjLi7G,2040,50000000000,10185166
14BQ2aDdTrsRzdnWGyALZsnuKYWqCY8Yhf3rydTLH3Hk4GQN,2040,1750000000000,10185129
16cSpbkiicDCYVWwB9ppM1fAoJ9USz1JeMdD9UDZnCMjYsZp,2040,50000000000,10185093
12sTciyuKG4raed46N7JTmdPKqoLrPvyZHZp5FuPjpxjKvrC,2040,605000000000,10185068
15gPn3birnMcFFAF97MjNdMZZ9p9wC9WwfMpkK6wSJk3tgfk,2040,100000000000,10185001
13Qbq8eqztbNr1fDKEFDET1B38A12EjGBseSZkv5invFD6Km,2040,100000000000,10184994
12eUydTFv8Syw1AWiLCv6iM9YAxJBwuKBr2z6mLwt499kStL,2040,50000000000,10184985
11Vy4RapXsGuqTrcCJDcDcKQB7dWDJJxVtGMjjvR3vr885B,2040,3365000000000,10184957
13xFHg6S9ep93kdR22uQWtwpyVZTvMR39mr2HUvCij3hywXU,2040,3320000000000,10184879
15FZe77TiPDjhaMLWD7jWxBBRvzAfx2uKD9cvn5wXqbDNkAC,2040,50000000000,10184858
14mPdhmfPxC3gGDbRXH2SJuBAwxrQXcecyKUtisadKA8HGEF,2040,150000000000,10184708
13Mjoe4Z6Mi6Eme4HFXzFYJAn2LxYFhBTkW3CykaSjEpSiQ5,2040,101000000000,10184598
1P8Gz49sHnWT2GRRfbZasszbNo2kbatqmVMP5LxUTm5VDb4,2040,1016365328292,10184429
15wxdSLnTFm6nvT1NRs1U1YWDBQZXVsMkwVmjMrwQ3sbZBbd,2040,340000000000,10184379
12j7rqLxPue8GVU8Jw18W6J2n7eLXmn2vmeu6ysuUnse4koR,2040,100000000000,10184375
15Sde3jFXPV8gZAghXAnvU1VqcQaANULrgBu1Gg4Hsf7Xbci,2040,1054000000000,10184127
